Процент_завершения;Базовая_длительность;Базовое_начало;Базовое_окончание;Начало;Окончание;Длительность;Причины_отклонений;Заметки;Уровень_структуры;БЛОК;Ид;Уникальный_идентификатор;Предшественники;Последователи;Дата_ограничения;Название;ЛОТ;ID_проекта;Уровень;Шифр_ПД_и_РД;Отклонение_начала;Отклонение_окончания
0%;153 д;01.05.26;30.09.26;22.10.26;05.11.26;15 д;;;3;СМР;941;1285;;;НД;ДЕКОР ФАСАДОВ;ЛОТ №18;;4;;174 д;36 д
0%;153 д;01.05.26;30.09.26;22.10.26;05.11.26;15 д;;;4;СМР;942;1286;919ОН+1 д;;НД;Монтаж ламелей вертикальных, горизонтальных;;;5;;174 д;36 д
0%;273 д;01.01.26;30.09.26;06.08.26;08.12.26;125 д;;;3;СМР;943;1287;;;НД;ВНУТРЕННИЕ СЕТИ;ЛОТ №19;;4;;217 д;69 д
0%;242 д;01.02.26;30.09.26;10.10.26;08.12.26;60 д;;;4;СМР;944;1288;;;НД;ВНУТРЕННИЕ СЕТИ: ВОДОСНАБЖЕНИЕ, ВОДОТВЕДЕНИЕ, ОТОПЛЕНИЕ, ВЕНТИЛЯЦИЯ;19.1;;4;;251 д;69 д
0%;242 д;01.02.26;30.09.26;10.10.26;08.12.26;60 д;;;5;СМР;945;1290;936ОН+5 д;976;НД;Хозяйственно-бытовой водопровод, включая пожарный водопровод (холодное и горячее водоснабжение) Light Industrial;;;5;;251 д;69 д
0%;242 д;01.02.26;30.09.26;10.10.26;08.12.26;60 д;;;5;СМР;946;1291;936ОН+5 д;976;НД;Система хоз-бытовой и фекальной канализации Light Industrial;;;5;;251 д;69 д
0%;242 д;01.02.26;30.09.26;10.10.26;08.12.26;60 д;;;5;СМР;947;1292;936ОН+5 д;976;НД;Вентиляция Light Industrial;;;5;;251 д;69 д
0%;242 д;01.02.26;30.09.26;10.10.26;08.12.26;60 д;;;5;СМР;948;1293;936ОН+5 д;976;НД;Отопление и теплоснабжение Light Industrial;;;5;;251 д;69 д
0%;243 д;01.01.26;31.08.26;10.10.26;08.12.26;60 д;;;4;СМР;949;1296;;;НД;ВНУТРЕННИЕ СЕТИ: ЭЛЕТРОСНАБЖЕНИЕ;19.2;;4;;282 д;99 д
0%;243 д;01.01.26;31.08.26;10.10.26;08.12.26;60 д;;;5;СМР;950;1297;936ОН+5 д;976;НД;Электроснабжение (ЭОМ) А+;;;5;;282 д;99 д
0%;243 д;01.01.26;31.08.26;10.10.26;08.12.26;60 д;;;5;СМР;951;1298;936ОН+5 д;976;НД;Светильники А+;;;5;;282 д;99 д
0%;243 д;01.01.26;31.08.26;10.10.26;08.12.26;60 д;;;5;СМР;952;1301;936ОН+5 д;976;НД;"Голосовой помощник Яндекс-станция ""Алиса""";;;5;;282 д;99 д
0%;242 д;01.02.26;30.09.26;06.08.26;08.12.26;125 д;;;4;СМР;953;1302;;;НД;ВНУТРЕННИЕ СЕТИ: ПОЖАРНЫЕ;19.3;;4;;186 д;69 д
0%;242 д;01.02.26;30.09.26;10.10.26;08.12.26;60 д;;;5;СМР;954;1304;936ОН+5 д;;НД;Система управления оповещением и эвакуацией СОУЭ Автоматическая пожарная сигнализация АПС Комплексная автоматизация;;;5;;251 д;69 д
