;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;1 неделя;1 неделя;1 неделя;1 неделя;1 неделя;2 неделя;2 неделя;2 неделя;2 неделя;2 неделя;2 неделя;2 неделя;3 неделя;3 неделя;3 неделя;3 неделя;3 неделя;3 неделя;3 неделя;4 неделя;4 неделя;4 неделя;4 неделя;4 неделя;4 неделя;4 неделя;5 неделя;5 неделя;5 неделя;5 неделя;
ID Проекта;Наименование проекта;ID Подрядчика;Подрядчик_new;Подрядчик_old;Тип ресурсов;01.04.2026;02.04.2026;03.04.2026;04.04.2026;05.04.2026;06.04.2026;07.04.2026;08.04.2026;09.04.2026;10.04.2026;11.04.2026;12.04.2026;13.04.2026;14.04.2026;15.04.2026;16.04.2026;17.04.2026;18.04.2026;19.04.2026;20.04.2026;21.04.2026;22.04.2026;23.04.2026;24.04.2026;25.04.2026;26.04.2026;27.04.2026;28.04.2026;29.04.2026;30.04.2026;Тип ресурсов
0feb8a44-a0f4-11ef-af7f-0050560219d5;Ленинский;#Н/Д;;ООО Интерстрой;техника;10;10;10;9;10;8;8;8;9;9;8;8;8;7;12;11;11;13;13;13;13;12;12;12;10;10;11;11;11;12;техника
0feb8a44-a0f4-11ef-af7f-0050560219d5;Ленинский;#Н/Д;;ООО КурскРегионПроект;рабочие;0;1;0;0;0;0;0;0;2;0;0;0;1;2;0;1;0;0;0;1;0;0;1;0;0;0;0;0;1;1;рабочие
0feb8a44-a0f4-11ef-af7f-0050560219d5;Ленинский;#Н/Д;;ООО РЭГ;рабочие;2;3;4;0;0;4;4;3;4;4;0;0;4;2;5;3;3;0;0;4;3;3;3;3;0;0;4;3;2;3;рабочие
0feb8a44-a0f4-11ef-af7f-0050560219d5;Ленинский;#Н/Д;;АО Марафон;рабочие;0;3;1;0;0;3;3;6;5;3;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;6;рабочие
0feb8a44-a0f4-11ef-af7f-0050560219d5;Ленинский;#Н/Д;;АО Марафон;техника;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;техника
0feb8a44-a0f4-11ef-af7f-0050560219d5;Ленинский;47b3de3b-5a19-11e6-94c4-001e6708222d;ГРУППА КОМПАНИЙ ЩИТ ЗАО;АО ГК Щит;рабочие;;;;;;3;9;9;8;5;3;0;14;9;16;14;18;16;9;18;22;26;25;26;27;20;17;18;14;30;рабочие
0feb8a44-a0f4-11ef-af7f-0050560219d5;Ленинский;47b3de3b-5a19-11e6-94c4-001e6708222d;ГРУППА КОМПАНИЙ ЩИТ ЗАО;АО ГК Щит;техника;;;;;;0;0;0;0;1;1;1;1;1;2;2;3;4;4;3;5;5;5;4;3;3;3;3;3;4;техника
0feb8a44-a0f4-11ef-af7f-0050560219d5;Ленинский;#Н/Д;;ООО СК Альянс;рабочие;2;2;3;0;0;5;2;3;3;2;0;0;5;2;3;2;2;0;0;2;3;2;2;4;0;0;2;2;2;2;рабочие
0feb8a44-a0f4-11ef-af7f-0050560219d5;Ленинский;a9362432-3e00-11ef-af44-0050560209d5;ОМЭЛСА ООО;ООО ОМЭЛСА;рабочие;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;рабочие
0feb8a44-a0f4-11ef-af7f-0050560219d5;Ленинский;#Н/Д;;ООО Техника безопасности;рабочие;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;рабочие
b41a9834-3a94-11ee-8bdc-0050560209df;Есипово-5;5b6f18cb-3dc3-11ef-af44-0050560209d5;АПЕКС КОНСТРАКШН ООО;ООО Апекс Контракшн;рабочие;3;3;4;3;0;3;3;3;3;4;3;0;3;3;3;3;4;3;1;2;2;3;2;5;5;0;3;4;4;4;рабочие
b41a9834-3a94-11ee-8bdc-0050560209df;Есипово-5;5b6f18cb-3dc3-11ef-af44-0050560209d5;АПЕКС КОНСТРАКШН ООО;ООО Апекс Контракшн;техника;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;1;1;1;1;1;1;2;2;2;2;2;2;2;2;2;техника
b41a9834-3a94-11ee-8bdc-0050560209df;Есипово-5;0ccd165e-cdbe-11eb-8bb8-005056b93b75;ИС КЛИНИНГ ООО;ООО ИС Клининг;рабочие;8;7;10;5;8;12;8;10;9;9;5;5;11;4;5;6;7;6;6;5;7;9;10;10;2;2;6;7;8;8;рабочие
b41a9834-3a94-11ee-8bdc-0050560209df;Есипово-5;0ccd165e-cdbe-11eb-8bb8-005056b93b75;ИС КЛИНИНГ ООО;ООО ИС Клининг;техника;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;техника
b41a9834-3a94-11ee-8bdc-0050560209df;Есипово-5;410ce545-8a5b-11f0-a555-005056026d24;МЕГАСТРОЙ ООО;ООО Мегастрой;рабочие;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;рабочие
b41a9834-3a94-11ee-8bdc-0050560209df;Есипово-5;410ce545-8a5b-11f0-a555-005056026d24;МЕГАСТРОЙ ООО;ООО Мегастрой;техника;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;техника
b41a9834-3a94-11ee-8bdc-0050560209df;Есипово-5;#Н/Д;;ООО Технофло;рабочие;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;рабочие
b41a9834-3a94-11ee-8bdc-0050560209df;Есипово-5;#Н/Д;;ООО Технофло;техника;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;техника
b41a9834-3a94-11ee-8bdc-0050560209df;Есипово-5;ed31eb4d-defa-11ef-a553-005056026d24;СТМ-ОСКОЛ ООО;СТМ - Оскол;рабочие;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;0;0;2;0;рабочие
b41a9834-3a94-11ee-8bdc-0050560209df;Есипово-5;ed31eb4d-defa-11ef-a553-005056026d24;СТМ-ОСКОЛ ООО;СТМ - Оскол;техника;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;техника
b41a9834-3a94-11ee-8bdc-0050560209df;Есипово-5;#Н/Д;;ООО Стройдекор;рабочие;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;рабочие
b41a9834-3a94-11ee-8bdc-0050560209df;Есипово-5;#Н/Д;;ООО Стройдекор;техника;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;техника
b41a9834-3a94-11ee-8bdc-0050560209df;Есипово-5;cd482ca4-c072-11f0-a55a-005056026d24;СК СТРОЙМОНТАЖ ООО;ООО СК Строймонтаж;рабочие;11;10;12;12;2;9;17;14;12;17;14;2;14;8;12;5;15;13;5;12;11;12;12;16;13;6;14;12;16;20;рабочие
b41a9834-3a94-11ee-8bdc-0050560209df;Есипово-5;cd482ca4-c072-11f0-a55a-005056026d24;СК СТРОЙМОНТАЖ ООО;ООО СК Строймонтаж;техника;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;12;12;техника
b41a9834-3a94-11ee-8bdc-0050560209df;Есипово-5;1244aa21-d445-11f0-a55a-005056026d24;БИ ТУ БИ КОНСТРАКШЕН ООО;ООО Би Ту Би Констракшн ;рабочие;9;6;9;7;4;8;5;6;9;9;9;0;9;8;8;9;9;7;8;8;9;7;8;9;5;5;7;6;6;7;рабочие
b41a9834-3a94-11ee-8bdc-0050560209df;Есипово-5;1244aa21-d445-11f0-a55a-005056026d24;БИ ТУ БИ КОНСТРАКШЕН ООО;ООО Би Ту Би Констракшн ;техника;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;техника
b41a9834-3a94-11ee-8bdc-0050560209df;Есипово-5;2b696512-d445-11f0-a55a-005056026d24;М2 ИНЖИНИРИНГ ООО;ООО М2 Инжиниринг ;рабочие;2;5;5;2;0;2;2;4;3;6;0;0;4;6;10;10;12;10;10;12;15;17;15;22;17;18;22;19;21;27;рабочие
b41a9834-3a94-11ee-8bdc-0050560209df;Есипово-5;2b696512-d445-11f0-a55a-005056026d24;М2 ИНЖИНИРИНГ ООО;ООО М2 Инжиниринг ;техника;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;3;3;3;3;3;3;3;3;3;3;3;3;3;3;техника
b41a9834-3a94-11ee-8bdc-0050560209df;Есипово-5;6293853e-0688-11f1-a55c-005056026d24;ПРОФИ СТРОЙ ООО;ООО Профи Строй;рабочие;12;11;11;11;11;11;13;13;13;11;12;0;9;8;9;10;9;9;7;7;9;8;8;9;9;10;7;9;9;10;рабочие
b41a9834-3a94-11ee-8bdc-0050560209df;Есипово-5;6293853e-0688-11f1-a55c-005056026d24;ПРОФИ СТРОЙ ООО;ООО Профи Строй;техника;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;техника
b41a9834-3a94-11ee-8bdc-0050560209df;Есипово-5;#Н/Д;;ООО Мосгеотех;рабочие;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;рабочие
b41a9834-3a94-11ee-8bdc-0050560209df;Есипово-5;#Н/Д;;ООО Мосгеотех;техника;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;техника
b41a9834-3a94-11ee-8bdc-0050560209df;Есипово-5;#Н/Д;;АО Марафон;рабочие;;;;;;;;;;;;;;;;;;;;;5;3;3;5;0;0;1;3;3;0;рабочие
b41a9834-3a94-11ee-8bdc-0050560209df;Есипово-5;#Н/Д;;АО Марафон;техника;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;техника
b41a9834-3a94-11ee-8bdc-0050560209df;Есипово-5;#Н/Д;;ООО КурскРегионПроект;рабочие;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;1;0;0;1;0;1;0;0;0;0;0;0;1;0;рабочие
b41a9834-3a94-11ee-8bdc-0050560209df;Есипово-5;#Н/Д;;ООО Техника безопасности;рабочие;0;0;0;0;0;1;0;0;0;1;0;0;1;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;рабочие
b41a9834-3a94-11ee-8bdc-0050560209df;Есипово-5;#Н/Д;;ООО Строй Альянс;рабочие;2;2;6;0;0;1;1;1;1;3;0;0;2;1;1;1;4;0;0;2;1;1;1;3;0;0;1;2;1;4;рабочие
b41a9834-3a94-11ee-8bdc-0050560209df;Есипово-5;#Н/Д;;ООО Стройтраст;рабочие;2;2;1;0;0;3;1;2;1;3;0;0;1;2;1;2;2;0;0;1;2;1;2;3;0;0;1;1;2;2;рабочие
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
